token	pos	ratio	category
closely	Adverb | Preposition	1.634	Qual
actually	Adverb | Preposition	1.619	Qual
often	Adverb | Preposition	1.611	Qual
largely	Adverb | Preposition	1.506	Qual
always	Adverb | Preposition	1.488	Qual
usually	Adverb | Preposition	1.375	Qual
thereby	Adverb | Preposition	1.356	Qual
too	Adverb | Preposition	1.355	Qual
currently	Adverb | Preposition	1.301	Qual
thus	Adverb | Preposition	1.277	Qual
first	Adverb | Preposition	1.266	Qual
indeed	Adverb | Preposition	1.266	Qual
already	Adverb | Preposition	1.239	Qual
typically	Adverb | Preposition	1.188	Qual
here	Adverb | Preposition	1.172	Qual
about	Adverb | Preposition	1.161	Qual
widely	Adverb | Preposition	1.127	Qual
particularly	Adverb | Preposition	1.111	Qual
nevertheless	Adverb | Preposition	1.074	Qual
not	Adverb | Preposition	1.07	Qual
specifically	Adverb | Preposition	1.025	Qual
out	Adverb | Preposition	1.198	Quant
also	Adverb | Preposition	1.21	Quant
no	Adverb | Preposition	1.211	Quant
as	Adverb | Preposition	1.225	Quant
better	Adverb | Preposition	1.236	Quant
generally	Adverb | Preposition	1.257	Quant
however	Adverb | Preposition	1.261	Quant
well	Adverb | Preposition	1.262	Quant
almost	Adverb | Preposition	1.273	Quant
effectively	Adverb | Preposition	1.281	Quant
only	Adverb | Preposition	1.335	Quant
very	Adverb | Preposition	1.37	Quant
finally	Adverb | Preposition	1.371	Quant
recently	Adverb | Preposition	1.372	Quant
still	Adverb | Preposition	1.376	Quant
namely	Adverb | Preposition	1.416	Quant
highly	Adverb | Preposition	1.479	Quant
there	Adverb | Preposition	1.488	Quant
therefore	Adverb | Preposition	1.556	Quant
less	Adverb | Preposition	1.578	Quant
empirically	Adverb | Preposition	1.596	Quant
directly	Adverb | Preposition	1.619	Quant
further	Adverb | Preposition	1.721	Quant
frequently	Adverb | Preposition	1.741	Quant
most	Adverb | Preposition	2.061	Quant
moreover	Adverb | Preposition	2.126	Quant
mainly	Adverb | Preposition	2.184	Quant
relatively	Adverb | Preposition	2.275	Quant
furthermore	Adverb | Preposition	2.744	Quant
significantly	Adverb | Preposition	3.224	Quant
